Timestamp,Symbol,Cmp,%ch7,Lch5,Sl,Target,7dhigh,Forwardpe,Pe,Rsi,Sector,Industry,Adx,%chylow,Srs,Ars,Srsy,Arsy,Lc,Low,%chsl,%chslatr,Atr%,%ch3low,Bollingerbandwidth
2026-02-05T22:01:40.650,MTARTECH,3283.50,27.66,-2.28,2527.37,2875.83,3448.90,72.77,164.34,61.51,aerospace & defence,engineering,21.27,0.424,0.674,0.596,0.576,0.496,6.44,2538.10,6.89,-4.88,5.10,14.23,9.96
2026-02-05T22:01:40.650,BHAGYANGR,168.49,9.88,-9.56,165.03,186.27,193,10.50,15.29,61.38,power & utilities,power generation and supply,18.98,6.44,0.618,1.25,0.531,1.15,0,175.65,6.44,-3.16,5.69,11.86,21.91
2026-02-05T22:01:40.650,GRAPHITE,622.95,2.44,-13.15,627.79,695.71,677.90,39.83,51.73,61.40,industrials,electrodes - graphites,20.82,-0.085,0.107,0.315,0.064,0.250,5.50,627.25,5.41,-4.65,4.75,9.91,15.17
2026-02-05T22:01:40.650,CRAFTSMAN,7836,5.66,-9.00,7509.48,8050.52,8220,42.29,50.70,56.57,auto,auto ancillaries,19.08,-0.239,0.111,0.432,0.110,0.396,3.85,7491.50,3.60,-2.93,4.26,9.22,9.30
2026-02-05T22:01:40.650,CUB,293.65,10.50,-7.43,269.21,317.39,324.10,16.39,17.25,59.06,bank,banks - private sector,20.39,5.03,0.322,0.464,0.270,0.421,3.73,282.75,8.95,-3.68,3.95,8.61,7.35
2026-02-05T22:01:40.650,PFC,415,9.75,-3.41,365.61,400.49,420.40,5.96,5.53,61.81,financials,finance - term-lending institutions,21.27,-0.947,-0.141,-0.114,-0.184,-0.162,5.77,362.15,4.77,-4.01,2.99,7.43,7.74
2026-02-05T22:01:40.650,COALINDIA,431.85,3.94,-6.99,426.97,461.13,461.55,15.27,8.59,67.75,metals & mining,mining / minerals / metals,39.25,-1.26,0.066,0.060,0.022,0.011,5.32,421.60,4.00,-3.49,2.75,6.90,9.59
2026-02-05T22:01:40.650,PETRONET,298.85,4.03,-3.60,278.10,303.20,302.35,13.49,12.20,60.26,energy,miscellaneous,18.21,-0.719,-0.086,-0.124,-0.158,-0.162,5.27,276.10,4.51,-3.62,2.84,6.54,5.80
2026-02-05T22:01:40.650,TMB,643.60,15.60,-0.516,561.73,581.37,660.70,8.02,8.13,62.86,bank,banks - private sector,28.97,-0.139,0.174,0.233,0.138,0.203,1.89,560.95,1.75,-2.31,3.33,4.86,9.70
2026-02-05T22:01:40.650,CANBK,148.29,1.93,-12.51,151.86,163.62,160.79,6.40,7.28,60.56,bank,banks - public sector,17.45,0.298,0.320,0.415,0.281,0.390,3.57,152.31,3.87,-3.00,2.89,4.52,4.22
2026-02-05T22:01:40.650,MUTHOOTFIN,3578.80,4.90,-13.78,3871.19,4039.81,4149.50,14.84,20.37,59.53,financials,finance & investments,18.36,0.744,0.392,0.816,0.336,0.779,1.42,3900,2.18,-1.67,2.61,4.18,3.66
2026-02-05T22:01:40.650,NTPC,367,6.51,-3.03,342.66,353.44,370.70,16.21,14.73,60.01,power & utilities,power generation and supply,26.39,0.594,-0.042,-0.020,-0.053,-0.028,0.972,344.70,1.57,-0.814,2.27,3.56,6.73
2026-02-05T21:23:45.998,MTARTECH,3283.5,27.66,-2.28,2527.37,2875.83,3448.9,72.77,164.34,61.51,aerospace & defence,engineering,21.27,0.424,0.674,0.596,0.576,0.496,6.44,2538.1,6.89,-4.88,5.1,14.23,9.96
2026-02-05T21:23:45.998,BHAGYANGR,168.49,9.88,-9.56,165.03,186.27,193.0,10.5,15.29,61.38,power & utilities,power generation and supply,18.98,6.44,0.618,1.25,0.531,1.15,0.0,175.65,6.44,-3.16,5.69,11.86,21.91
2026-02-05T21:23:45.998,GRAPHITE,622.95,2.44,-13.15,627.79,695.71,677.9,39.83,51.73,61.4,industrials,electrodes - graphites,20.82,-0.085,0.107,0.315,0.064,0.25,5.5,627.25,5.41,-4.65,4.75,9.91,15.17
2026-02-05T21:23:45.998,CRAFTSMAN,7836.0,5.66,-9.0,7509.48,8050.52,8220.0,42.29,50.7,56.57,auto,auto ancillaries,19.08,-0.239,0.111,0.432,0.11,0.396,3.85,7491.5,3.6,-2.93,4.26,9.22,9.3
2026-02-05T21:23:45.998,CUB,293.65,10.5,-7.43,269.21,317.39,324.1,16.39,17.25,59.06,bank,banks - private sector,20.39,5.03,0.322,0.464,0.27,0.421,3.73,282.75,8.95,-3.68,3.95,8.61,7.35
2026-02-05T21:23:45.998,PFC,415.0,9.75,-3.41,365.61,400.49,420.4,5.96,5.53,61.81,financials,finance - term-lending institutions,21.27,-0.947,-0.141,-0.114,-0.184,-0.162,5.77,362.15,4.77,-4.01,2.99,7.43,7.74
2026-02-05T21:23:45.998,COALINDIA,431.85,3.94,-6.99,426.97,461.13,461.55,15.27,8.59,67.75,metals & mining,mining / minerals / metals,39.25,-1.26,0.066,0.06,0.022,0.011,5.32,421.6,4.0,-3.49,2.75,6.9,9.59
2026-02-05T21:23:45.998,PETRONET,298.85,4.03,-3.6,278.1,303.2,302.35,13.49,12.2,60.26,energy,miscellaneous,18.21,-0.719,-0.086,-0.124,-0.158,-0.162,5.27,276.1,4.51,-3.62,2.84,6.54,5.8
2026-02-05T21:23:45.998,TMB,643.6,15.6,-0.516,561.73,581.37,660.7,8.02,8.13,62.86,bank,banks - private sector,28.97,-0.139,0.174,0.233,0.138,0.203,1.89,560.95,1.75,-2.31,3.33,4.86,9.7
2026-02-05T21:23:45.998,CANBK,148.29,1.93,-12.51,151.86,163.62,160.79,6.4,7.28,60.56,bank,banks - public sector,17.45,0.298,0.32,0.415,0.281,0.39,3.57,152.31,3.87,-3.0,2.89,4.52,4.22
