Timestamp,Symbol,Rsscore,Rscore1mago,Rscore3mago,Rscore6mago,Rs1m,Rs3m,Rs6m
2026-02-05T21:23:46.036,CUPID,115.23,119.21,53.57,22.10,-0.021,0.712,1.51
2026-02-05T21:23:46.036,SABTNL,76.63,11.12,-4.82,38.72,0.110,1.44,0.742
2026-02-05T21:23:46.036,FORCEMOT,51.10,48.56,34.59,23.25,0.009,0.179,0.240
2026-02-05T21:23:46.036,LUMAXTECH,45.89,40.26,29.69,26.84,-0.090,0.317,0.325
2026-02-05T21:23:46.036,SMLMAH,42.76,44.18,20.24,16.93,-0.102,0.209,0.078
2026-02-05T21:23:46.036,ESILVER,41.75,41.82,12.65,7.25,0.046,0.702,1.24
2026-02-05T21:23:46.036,HINDCOPPER,41.75,32.72,4.22,-5.38,0.074,0.884,1.49
2026-02-05T21:23:46.036,SILVER,41.44,42.11,12.73,7.33,0.036,0.691,1.22
2026-02-05T21:23:46.036,SBISILVER,40.89,41.97,12.65,7.52,0.029,0.678,1.20
2026-02-05T21:23:46.036,TATSILV,40.70,42.30,12.72,7.28,0.022,0.668,1.20
2026-02-05T21:23:46.036,SILVERIETF,40.69,42.23,12.63,7.27,0.024,0.673,1.20
2026-02-05T21:23:46.036,HDFCSILVER,40.57,42.19,12.60,7.31,0.024,0.672,1.19
2026-02-05T21:23:46.036,BGRENERGY,40.49,62.68,213.22,33.46,-0.040,-0.179,2.25
2026-02-05T21:23:46.036,SILVERBETA,40.43,41.82,12.55,6.80,0.025,0.669,1.19
2026-02-05T21:23:46.036,SILVER1,40.39,41.76,12.71,7.36,0.026,0.667,1.19
2026-02-05T21:23:46.036,SILVERBEES,40.19,42.00,12.51,7.15,0.021,0.667,1.19
2026-02-05T21:23:46.036,AXISILVER,40.16,42.02,12.63,7.29,0.018,0.662,1.18
2026-02-05T21:23:46.036,SILVERADD,40.04,42.10,12.68,7.34,0.014,0.653,1.18
2026-02-05T21:23:46.036,SILVERAG,39.90,41.78,12.69,7.30,0.020,0.653,1.18
2026-02-05T21:23:46.036,PFOCUS,38.11,21.96,9.62,2.47,0.094,0.511,0.735
2026-02-05T21:23:46.036,INFOBEAN,36.84,34.49,12.12,7.14,-0.105,0.414,0.518
2026-02-05T21:23:46.036,MEGASOFT,35.34,38.94,51.94,16.07,-0.077,-0.111,0.586
2026-02-05T21:23:46.036,SILGO,34.50,24.88,16.44,12.20,-0.043,0.106,0.315
2026-02-05T21:23:46.036,ABINFRA,34.18,23.02,NaN,NaN,0.108,0.088,0.123
2026-02-05T21:23:46.036,LUMAXIND,32.55,31.89,25.61,9.78,-0.090,0.051,0.323
2026-02-05T21:23:46.036,TDPOWERSYS,31.40,14.11,26.83,6.34,0.176,0.015,0.581
2026-02-05T21:23:46.036,TFCILTD,30.80,25.10,33.42,13.37,-0.013,-0.011,0.222
2026-02-05T21:23:46.036,MTARTECH,29.52,14.46,12.05,-5.28,0.295,0.383,1.27
2026-02-05T21:23:46.036,MCX,27.51,20.46,12.03,18.63,0.073,0.303,0.511
