Timestamp,Symbol,Cmp,%ch7,Lch5,Sl,Target,7d_high,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,Lc,Low,%ch sl,%ch sl atr,Atr%,%ch_3low,Bollinger bandwidth,Scan_Date
2026-02-05T11:34:15.195,INFOBEAN,836.9,5.32,-12.67,823.61,951.29,934.65,26.28,27.86,55.65,i.t,computers - software - medium / small,36.09,-9.58,0.312,1.28,0.194,0.902,19.17,744.7,7.75,-12.16,10.07,21.74,20.95,2026-02-05
2026-02-05T11:34:15.195,MTARTECH,3251.0,27.66,-2.28,2527.38,2875.82,3448.9,72.05,164.34,61.51,aerospace & defence,engineering,21.27,0.424,0.674,0.596,0.576,0.496,6.44,2538.1,6.89,-4.88,5.1,14.23,9.96,2026-02-05
2026-02-05T11:34:15.195,BHAGYANGR,166.8,9.88,-9.56,165.03,186.27,193.0,10.4,15.29,61.38,power & utilities,power generation and supply,18.98,6.44,0.618,1.25,0.531,1.15,0.0,175.65,6.44,-3.16,5.69,11.86,21.91,2026-02-05
2026-02-05T11:34:15.195,GRAPHITE,620.0,2.44,-13.15,627.79,695.71,677.9,39.64,51.73,61.4,industrials,electrodes - graphites,20.82,-0.086,0.107,0.315,0.064,0.25,5.5,627.25,5.41,-4.65,4.75,9.91,15.17,2026-02-05
2026-02-05T11:34:15.195,CRAFTSMAN,7820.5,5.66,-9.0,7509.47,8050.53,8220.0,42.21,50.7,56.57,auto,auto ancillaries,19.08,-0.239,0.111,0.432,0.11,0.396,3.85,7491.5,3.6,-2.93,4.26,9.22,9.3,2026-02-05
2026-02-05T11:34:15.195,CUB,295.95,10.5,-7.43,269.21,317.39,324.1,16.52,17.25,59.06,bank,banks - private sector,20.39,5.03,0.322,0.464,0.27,0.421,3.73,282.75,8.95,-3.68,3.95,8.61,7.35,2026-02-05
2026-02-05T11:34:15.195,PFC,412.0,9.75,-3.41,365.61,400.49,420.4,5.92,5.53,61.81,financials,finance - term-lending institutions,21.27,-0.947,-0.141,-0.114,-0.184,-0.162,5.77,362.15,4.77,-4.01,2.99,7.43,7.74,2026-02-05
2026-02-05T11:34:15.195,COALINDIA,431.3,3.94,-6.99,426.97,461.13,461.55,15.25,8.59,67.75,metals & mining,mining / minerals / metals,39.25,-1.26,0.066,0.06,0.022,0.011,5.32,421.6,4.0,-3.49,2.75,6.9,9.59,2026-02-05
2026-02-05T11:34:15.195,PETRONET,297.8,4.03,-3.6,278.1,303.2,302.35,13.44,12.2,60.26,energy,miscellaneous,18.21,-0.719,-0.086,-0.124,-0.158,-0.162,5.27,276.1,4.51,-3.62,2.84,6.54,5.8,2026-02-05
2026-02-05T11:34:15.195,UNIONBANK,177.0,0.775,-9.25,175.38,188.48,183.34,6.65,7.1,70.84,bank,banks - public sector,35.87,-0.073,0.263,0.322,0.201,0.275,3.81,175.25,3.74,-3.22,3.3,5.93,12.94,2026-02-05
